Net Status Report
Filename     : C:\Users\Kuba\Documents\PCB\iot-gateway\iot-gateway.PcbDoc
Date         : 24.02.2018
Time         : 13:48:24
Time Elapsed : 00:00:00

Nets, Layer, Length
    TD_N, Signal Layers Only, 0mils
    TD_P, Signal Layers Only, 0mils
    USART1_RX, Signal Layers Only, 0mils
    USART1_TX, Signal Layers Only, 0mils
    USART2_RX, Signal Layers Only, 0mils
    USART2_TX, Signal Layers Only, 0mils
    USART3_RX, Signal Layers Only, 0mils
    USART3_TX, Signal Layers Only, 0mils
    USB_OTG_FS_DM, Signal Layers Only, 0mils
    USB_OTG_FS_DP, Signal Layers Only, 0mils
    USB_VBUS, Signal Layers Only, 0mils
    VBAT, Signal Layers Only, 1290.082mils
    VREF, Signal Layers Only, 116.166mils
count : 342
